AR,PR,MAL,MIL,EC,ED,CA,EX,AS,RO,class
11648,445.527,178.4659,84.9327,0.8795,121.7813,12135,0.566,2.1013,0.7374,1
12769,447.83,184.4764,88.6296,0.877,127.5068,13024,0.6733,2.0814,0.8001,1
14835,488.965,196.5303,97.3891,0.8686,137.4355,15263,0.691,2.018,0.7797,1
9475,408.427,178.9363,67.5776,0.9259,109.836,9652,0.5299,2.6479,0.7138,1
12849,456.372,188.4676,88.1827,0.8838,127.9056,13187,0.7814,2.1372,0.7752,1
14883,485.363,203.2395,94.3304,0.8858,137.6576,15093,0.6267,2.1545,0.7939,1
13545,470.587,198.7273,88.0138,0.8966,131.3241,13788,0.5821,2.2579,0.7686,1
13084,460.91,190.8731,88.5734,0.8858,129.07,13347,0.5865,2.155,0.774,1
12501,451.281,185.8183,87.0528,0.8835,126.1617,12844,0.6212,2.1345,0.7714,1
15917,515.441,212.7014,97.5204,0.8887,142.3592,16400,0.6048,2.1811,0.7529,1
14106,476.343,196.1112,92.5838,0.8815,134.0161,14485,0.5871,2.1182,0.7812,1
14301,480.164,187.6669,99.3781,0.8483,134.9392,14951,0.607,1.8884,0.7795,1
13938,472.339,193.2652,93.5004,0.8752,133.2157,14269,0.5999,2.067,0.7851,1
14829,480.976,199.1518,95.1992,0.8783,137.4077,15083,0.7572,2.0919,0.8055,1
14540,483.862,198.2025,95.1757,0.8772,136.0621,15005,0.7734,2.0825,0.7804,1
13409,460.872,186.1797,93.2367,0.8656,130.6632,13667,0.7145,1.9968,0.7933,1
13637,457.787,189.1338,92.4826,0.8723,131.7694,13834,0.8014,2.0451,0.8177,1
10760,414.906,170.6515,81.9291,0.8772,117.0472,11037,0.7535,2.0829,0.7855,1
12206,445.762,185.6769,84.6475,0.89,124.6642,12500,0.7538,2.1935,0.7719,1
12550,453.018,187.1744,86.4708,0.8869,126.4087,12793,0.6137,2.1646,0.7685,1
12488,458.579,191.061,84.4833,0.8969,126.0961,12813,0.5513,2.2615,0.7462,1
12843,466.299,197.1622,83.9702,0.9048,127.8758,13166,0.6398,2.348,0.7422,1
15532,506.083,207.2012,97.0122,0.8836,140.627,16026,0.5726,2.1358,0.7621,1
14446,488.048,203.3706,91.7769,0.8924,135.6216,14800,0.6465,2.2159,0.7621,1
11223,442.892,190.5174,75.9964,0.917,119.539,11463,0.7753,2.5069,0.719,1
13939,470.102,199.0918,89.5399,0.8932,133.2204,14131,0.7054,2.2235,0.7926,1
11548,436.71,186.0869,79.7724,0.9035,121.2575,11740,0.5749,2.3327,0.7609,1
9866,413.913,177.7572,71.2339,0.9162,112.0794,10067,0.6671,2.4954,0.7237,1
12972,454.396,179.2032,94.6922,0.849,128.5164,13459,0.7268,1.8925,0.7895,1
15162,490.762,196.8174,99.33,0.8633,138.9419,15519,0.6488,1.9815,0.7911,1
12900,456.543,190.7326,87.107,0.8896,128.1592,13103,0.5922,2.1896,0.7777,1
14521,475.163,190.299,98.1145,0.8568,135.9732,14796,0.7136,1.9396,0.8082,1
15054,492.699,202.4211,96.2051,0.8798,138.4462,15467,0.5931,2.1041,0.7793,1
14256,492.24,205.0317,89.9709,0.8986,134.7268,14738,0.682,2.2789,0.7394,1
11217,433.642,175.5699,82.5034,0.8827,119.507,11688,0.5935,2.128,0.7496,1
15362,487.863,197.8664,100.0688,0.8627,139.8553,15687,0.6182,1.9773,0.8111,1
16239,511.708,212.2871,98.8609,0.8849,143.792,16608,0.7472,2.1473,0.7793,1
16484,502.216,203.2449,104.3246,0.8582,144.8726,16874,0.6607,1.9482,0.8213,1
14813,488.074,200.2418,95.346,0.8794,137.3335,15186,0.645,2.1002,0.7814,1
15874,503.256,210.5158,97.0347,0.8874,142.1668,16148,0.7632,2.1695,0.7876,1
14050,469.179,191.4265,94.8751,0.8685,133.7498,14249,0.6261,2.0177,0.8021,1
13619,470.771,198.5006,88.6621,0.8947,131.6824,13874,0.7636,2.2388,0.7722,1
15890,501.62,202.8541,100.7817,0.8679,142.2384,16159,0.6756,2.0128,0.7936,1
14178,483.589,206.7153,87.9371,0.905,134.3577,14401,0.7592,2.3507,0.7619,1
14753,490.256,202.4147,94.2023,0.8851,137.0551,15226,0.6969,2.1487,0.7713,1
12185,431.375,173.1015,90.8967,0.851,124.5569,12399,0.6312,1.9044,0.8229,1
14059,486.278,205.0893,88.5965,0.9019,133.7926,14395,0.6521,2.3149,0.7471,1
11661,449.979,190.5418,79.1937,0.9095,121.8493,12009,0.7888,2.406,0.7237,1
11555,459.364,202.5461,73.6531,0.9315,121.2942,11787,0.5198,2.75,0.6881,1
15794,499.314,202.99,100.1332,0.8699,141.8081,16135,0.6461,2.0272,0.7961,1
12820,461.115,189.9431,87.8627,0.8866,127.7612,13096,0.6005,2.1618,0.7577,1
14726,494.249,203.8076,93.7669,0.8879,136.9296,15182,0.7933,2.1736,0.7575,1
12721,452.171,188.5861,87.1385,0.8868,127.267,12906,0.7772,2.1642,0.7819,1
14713,488.37,201.3968,94.3339,0.8835,136.8692,15131,0.7431,2.1349,0.7752,1
14376,477.801,196.196,94.9323,0.8751,135.2926,14705,0.7449,2.0667,0.7913,1
11523,434.895,183.5871,80.9381,0.8976,121.1261,11777,0.786,2.2682,0.7656,1
14193,483.709,198.1915,93.0113,0.883,134.4288,14512,0.596,2.1308,0.7623,1
16677,530.216,218.8074,98.5638,0.8928,145.7183,17210,0.7085,2.22,0.7455,1
14280,482.561,195.8028,94.5368,0.8757,134.8401,14709,0.5868,2.0712,0.7706,1
13587,476.288,200.7764,87.0998,0.901,131.5276,13897,0.6734,2.3051,0.7527,1
14052,481.588,198.5618,91.1967,0.8883,133.7593,14332,0.6686,2.1773,0.7614,1
15673,507.175,210.9908,95.7337,0.8911,141.2639,15967,0.5907,2.2039,0.7657,1
13550,466.864,194.6559,89.0102,0.8893,131.3484,13763,0.5918,2.1869,0.7812,1
12096,459.748,196.4783,78.98,0.9156,124.1012,12369,0.6431,2.4877,0.7191,1
15215,501.742,211.7654,92.9002,0.8986,139.1846,15591,0.805,2.2795,0.7595,1
13121,454.934,189.6803,88.8788,0.8834,129.2524,13350,0.7164,2.1341,0.7967,1
13595,476.026,204.123,85.8397,0.9073,131.5663,13779,0.6116,2.378,0.7539,1
15749,493.789,198.9527,101.9962,0.8586,141.606,16088,0.6675,1.9506,0.8117,1
13768,465.173,191.1059,93.1842,0.8731,132.4008,14056,0.7629,2.0508,0.7996,1
14612,497.674,205.2522,92.9918,0.8915,136.3986,15101,0.7093,2.2072,0.7414,1
14742,489.768,203.6485,93.2621,0.889,137.004,15058,0.7335,2.1836,0.7723,1
15560,491.494,200.0556,100.1599,0.8656,140.7537,15826,0.6258,1.9974,0.8094,1
14654,495.43,204.0706,93.7124,0.8883,136.5945,15108,0.5836,2.1776,0.7502,1
15562,499.504,204.7511,97.7994,0.8786,140.7628,15857,0.6332,2.0936,0.7838,1
13870,470.214,193.5635,92.3881,0.8787,132.8903,14203,0.5956,2.0951,0.7883,1
14422,482.889,200.4521,92.2092,0.8879,135.5089,14694,0.6356,2.1739,0.7772,1
12278,443.43,186.5226,84.4306,0.8917,125.0313,12534,0.7717,2.2092,0.7847,1
14305,472.839,193.3752,94.887,0.8713,134.9581,14520,0.7074,2.038,0.804,1
14558,498.816,209.6505,89.6524,0.904,136.1463,14986,0.6346,2.3385,0.7352,1
17060,528.538,217.5805,101.9362,0.8835,147.382,17435,0.782,2.1345,0.7674,1
12417,447.664,187.7507,85.063,0.8915,125.7371,12585,0.8141,2.2072,0.7786,1
17265,528.545,219.9833,101.5269,0.8871,148.2649,17635,0.577,2.1667,0.7766,1
10739,419.256,175.1925,79.3756,0.8915,116.933,10919,0.7015,2.2071,0.7677,1
13904,473.827,192.9345,94.1321,0.8729,133.0531,14259,0.5974,2.0496,0.7782,1
14835,485.745,201.852,94.7461,0.883,137.4355,15060,0.6088,2.1305,0.7901,1
10922,409.583,163.5035,86.2611,0.8495,117.9251,11171,0.6359,1.8954,0.8181,1
13867,480.868,201.4753,88.7724,0.8977,132.8759,14192,0.5592,2.2696,0.7536,1
11059,419.801,179.5781,78.7193,0.8988,118.6624,11228,0.7945,2.2812,0.7886,1
14092,468.757,187.5863,97.2722,0.855,133.9496,14446,0.623,1.9285,0.8059,1
14869,498.476,212.8692,89.776,0.9067,137.5929,15159,0.6944,2.3711,0.752,1
14441,482.048,199.5433,93.7253,0.8828,135.5981,14742,0.5991,2.129,0.781,1
17285,536.405,221.6816,101.4412,0.8892,148.3508,17732,0.6343,2.1853,0.7549,1
15559,496.778,205.7133,97.4525,0.8807,140.7492,15811,0.5951,2.1109,0.7923,1
14844,482.087,191.6501,100.4654,0.8516,137.4772,15296,0.6309,1.9076,0.8026,1
14814,470.261,184.169,104.2438,0.8244,137.3382,15064,0.6881,1.7667,0.8418,1
11449,426.242,179.5562,81.6479,0.8906,120.7366,11609,0.5866,2.1992,0.7919,1
14602,491.563,201.7518,93.9915,0.8848,136.3519,15115,0.6424,2.1465,0.7594,1
13143,464.043,190.5166,89.4633,0.8829,129.3607,13524,0.5998,2.1296,0.767,1
14057,478.669,197.1613,92.1158,0.8841,133.7831,14403,0.7211,2.1404,0.771,1
14451,480.223,200.0667,92.7655,0.886,135.6451,14734,0.7725,2.1567,0.7874,1
15018,484.69,203.8374,94.2184,0.8868,138.2805,15194,0.5795,2.1635,0.8033,1
13214,460.827,183.1804,93.4605,0.86,129.7096,13607,0.6077,1.96,0.7819,1
16920,517.143,208.0843,104.4405,0.8649,146.7761,17351,0.6628,1.9924,0.795,1
15670,505.209,207.2715,96.9278,0.8839,141.2504,16053,0.6234,2.1384,0.7715,1
13874,469.372,187.2115,96.2173,0.8578,132.9095,14214,0.5973,1.9457,0.7914,1
14421,497.046,217.6072,85.1728,0.9202,135.5042,14683,0.5309,2.5549,0.7335,1
12788,446.543,178.0549,93.6611,0.8505,127.6017,13126,0.6459,1.9011,0.8059,1
14002,469.573,190.3552,94.9007,0.8669,133.5212,14279,0.6505,2.0058,0.798,1
11873,440.185,182.6939,83.3002,0.89,122.9519,12174,0.5771,2.1932,0.77,1
13681,480.902,204.2981,86.3843,0.9062,131.9818,13992,0.5494,2.365,0.7434,1
15153,482.852,196.7374,98.9918,0.8642,138.9007,15419,0.6204,1.9874,0.8167,1
9761,406.743,165.7834,76.8487,0.8861,111.4813,10158,0.7086,2.1573,0.7414,1
14217,479.538,201.241,91.2727,0.8912,134.5424,14450,0.7987,2.2048,0.7769,1
15451,497.375,203.4009,97.6015,0.8774,140.2598,15743,0.7687,2.084,0.7849,1
13832,463.783,191.122,93.0894,0.8734,132.7081,14071,0.7548,2.0531,0.8081,1
14628,489.065,203.9242,92.6914,0.8907,136.4733,14966,0.691,2.2,0.7685,1
15432,495.21,202.6727,97.9324,0.8755,140.1736,15741,0.6932,2.0695,0.7908,1
13467,468.128,192.9618,90.2886,0.8838,130.9455,13834,0.5954,2.1372,0.7722,1
12640,455.976,190.1029,85.812,0.8923,126.8611,12959,0.6772,2.2153,0.764,1
13959,489.991,201.2901,90.4854,0.8933,133.316,14523,0.7054,2.2246,0.7306,1
15188,485.379,201.436,96.6742,0.8773,139.061,15425,0.6218,2.0837,0.8101,1
14840,488.346,198.8469,96.8727,0.8733,137.4586,15246,0.6641,2.0527,0.782,1
14645,474.384,198.9627,94.3897,0.8803,136.5525,14830,0.8202,2.1079,0.8178,1
14465,490.705,204.1401,91.6339,0.8936,135.7108,14856,0.5988,2.2278,0.7549,1
13044,457.373,186.1192,90.4557,0.874,128.8726,13318,0.7462,2.0576,0.7836,1
14343,476.108,192.2584,96.9621,0.8635,135.1372,14788,0.6339,1.9828,0.7951,1
12803,461.814,200.4863,81.5543,0.9135,127.6765,12996,0.7724,2.4583,0.7544,1
13365,462.071,190.9504,90.6284,0.8802,130.4486,13573,0.6608,2.107,0.7866,1
14870,491.253,200.1508,95.9696,0.8775,137.5975,15242,0.6008,2.0856,0.7743,1
14121,480.432,193.3907,95.5167,0.8695,134.0873,14564,0.6509,2.0247,0.7688,1
15454,497.724,206.308,96.5416,0.8838,140.2735,15782,0.708,2.137,0.7839,1
13827,472.169,196.4224,90.771,0.8868,132.6841,14049,0.7502,2.1639,0.7794,1
11042,449.665,195.7147,72.9496,0.9279,118.5711,11296,0.5078,2.6829,0.6862,1
13281,458.523,188.2328,91.1915,0.8748,130.0381,13649,0.7596,2.0642,0.7938,1
13279,453.734,188.9259,90.6631,0.8773,130.0283,13446,0.8246,2.0838,0.8105,1
12872,461.492,185.4395,90.4903,0.8729,128.0201,13202,0.6501,2.0493,0.7595,1
14352,486.99,200.078,92.5964,0.8865,135.1796,14891,0.6456,2.1608,0.7605,1
11604,428.668,177.7719,83.5838,0.8826,121.5511,11819,0.6868,2.1269,0.7936,1
12509,438.432,176.8755,91.4518,0.856,126.202,12728,0.5998,1.9341,0.8178,1
12934,470.567,199.6988,83.9595,0.9073,128.328,13253,0.5709,2.3785,0.734,1
14470,492.183,212.8182,86.906,0.9128,135.7342,14690,0.6378,2.4488,0.7506,1
11898,448.646,191.9284,80.3746,0.9081,123.0813,12108,0.5508,2.3879,0.7428,1
15895,508.055,211.2608,97.6156,0.8868,142.2608,16247,0.6346,2.1642,0.7738,1
14410,485.409,203.7477,91.0279,0.8947,135.4525,14712,0.7314,2.2383,0.7685,1
12197,453.893,192.5501,81.9808,0.9048,124.6182,12502,0.594,2.3487,0.744,1
14791,491.613,200.7935,95.254,0.8803,137.2315,15195,0.6723,2.108,0.7691,1
13164,463.565,193.2077,87.7735,0.8909,129.464,13392,0.5962,2.2012,0.7698,1
15085,495.317,209.5117,92.4461,0.8974,138.5887,15348,0.7708,2.2663,0.7727,1
14768,489.007,205.8696,92.1615,0.8942,137.1248,14956,0.7955,2.2338,0.7761,1
13475,469.595,188.6774,92.7986,0.8707,130.9844,13947,0.5871,2.0332,0.7679,1
12537,454.71,190.927,84.8271,0.8959,126.3432,12804,0.7773,2.2508,0.762,1
14249,481.952,195.3842,94.3428,0.8757,134.6937,14670,0.7456,2.071,0.7709,1
15065,497.682,201.39,96.5153,0.8777,138.4968,15493,0.7075,2.0866,0.7643,1
14180,481.445,198.7237,92.2449,0.8857,134.3672,14589,0.5781,2.1543,0.7688,1
13934,478.354,203.8659,87.3526,0.9036,133.1965,14169,0.5522,2.3338,0.7652,1
14082,474.707,197.1183,91.7774,0.885,133.9021,14333,0.7643,2.1478,0.7853,1
13656,473.534,190.6088,92.5006,0.8744,131.8611,14078,0.6872,2.0606,0.7653,1
14481,483.743,201.2894,92.4949,0.8882,135.7858,14770,0.6149,2.1762,0.7776,1
15945,499.485,200.5925,102.6664,0.8591,142.4844,16352,0.7049,1.9538,0.8031,1
11796,433.653,184.0332,82.0057,0.8952,122.5526,11955,0.5892,2.2442,0.7882,1
14254,474.063,191.2747,96.5599,0.8632,134.7173,14650,0.7463,1.9809,0.797,1
14999,487.237,202.3301,95.5324,0.8815,138.1931,15271,0.7894,2.1179,0.7939,1
10855,415.32,173.5607,80.7503,0.8852,117.5628,11035,0.6754,2.1493,0.7908,1
13354,483.088,205.5288,85.19,0.9101,130.3949,13799,0.5528,2.4126,0.7191,1
14468,486.368,198.8204,94.6773,0.8793,135.7248,14986,0.7824,2.1,0.7686,1
15614,506.448,210.4497,96.1309,0.8896,140.9977,16091,0.7116,2.1892,0.765,1
13864,470.259,195.6935,91.551,0.8838,132.8616,14175,0.6491,2.1375,0.7878,1
9755,406.025,170.7576,74.1079,0.9009,111.4471,10034,0.6158,2.3042,0.7436,1
11948,430.991,179.2206,85.6724,0.8783,123.3396,12095,0.8133,2.0919,0.8083,1
10878,416.319,175.0933,79.8624,0.8899,117.6873,11038,0.5801,2.1924,0.7887,1
13295,455.354,189.479,89.9011,0.8803,130.1066,13525,0.7855,2.1076,0.8057,1
17196,531.782,219.6364,100.392,0.8894,147.9683,17515,0.6229,2.1878,0.7641,1
14761,490.677,200.9404,95.5356,0.8797,137.0923,15021,0.5862,2.1033,0.7704,1
10075,402.624,171.2676,75.3149,0.8981,113.2603,10252,0.8202,2.274,0.781,1
13785,465.054,191.885,92.2773,0.8768,132.4825,13973,0.6143,2.0794,0.801,1
14504,487.477,201.7393,92.794,0.8879,135.8936,14852,0.7601,2.1741,0.767,1
13939,475.511,195.589,92.0269,0.8824,133.2204,14211,0.6491,2.1253,0.7747,1
16074,503.609,203.5601,101.6855,0.8663,143.0596,16398,0.6165,2.0019,0.7964,1
15017,501.792,212.2532,91.4158,0.9025,138.276,15346,0.7521,2.3218,0.7495,1
14092,472.058,191.9866,94.4601,0.8706,133.9496,14444,0.615,2.0325,0.7947,1
12905,447.97,184.949,90.0227,0.8735,128.1841,13113,0.5982,2.0545,0.8081,1
14483,463.98,184.0453,101.7707,0.8332,135.7952,14647,0.6102,1.8084,0.8454,1
14838,478.273,190.3756,100.253,0.8501,137.4494,15215,0.699,1.899,0.8151,1
13502,461.978,190.6593,91.0598,0.8786,131.1155,13752,0.5926,2.0938,0.795,1
13857,468.511,191.1833,93.655,0.8718,132.828,14142,0.6142,2.0414,0.7933,1
14707,507.439,212.808,89.3143,0.9077,136.8413,15016,0.7974,2.3827,0.7177,1
14404,517.157,224.4403,83.2578,0.9286,135.4243,14768,0.7834,2.6957,0.6768,1
13741,461.467,187.9343,94.1171,0.8656,132.2709,14077,0.7818,1.9968,0.8109,1
6781,307.023,116.2443,74.8093,0.7654,92.9184,6906,0.7208,1.5539,0.904,2
6208,300.124,113.9325,70.6069,0.7848,88.906,6428,0.763,1.6136,0.8661,2
6276,288.886,108.0128,74.3469,0.7254,89.3916,6361,0.7821,1.4528,0.945,2
5832,282.75,108.9852,68.6358,0.7768,86.1715,5923,0.7172,1.5879,0.9167,2
6628,311.431,119.7466,72.0507,0.7987,91.8642,6842,0.7201,1.662,0.8588,2
7059,311.879,117.4605,77.178,0.7538,94.804,7186,0.69,1.5219,0.912,2
6725,299.134,111.966,76.877,0.727,92.534,6818,0.7224,1.4564,0.9444,2
6397,295.966,113.3151,72.3246,0.7698,90.2492,6499,0.7051,1.5668,0.9177,2
7096,317.385,121.1335,75.7785,0.7802,95.0521,7241,0.7653,1.5985,0.8852,2
6119,284.007,105.074,74.4479,0.7057,88.2664,6213,0.7433,1.4114,0.9533,2
7027,306.701,113.5244,79.4257,0.7145,94.5889,7124,0.7277,1.4293,0.9387,2
6527,300.034,112.6004,74.7701,0.7477,91.1616,6655,0.7511,1.506,0.9111,2
6206,296.553,112.3198,71.3089,0.7726,88.8916,6360,0.7196,1.5751,0.8868,2
5759,285.836,110.6204,67.2578,0.7939,85.6305,5877,0.6962,1.6447,0.8858,2
5789,287.704,111.4038,67.2571,0.7972,85.8533,5924,0.6897,1.6564,0.8789,2
6876,303.202,115.4528,76.1591,0.7516,93.5671,6977,0.7487,1.5159,0.9399,2
7248,323.896,127.5157,73.3569,0.818,96.0648,7357,0.6639,1.7383,0.8682,2
6571,305.263,120.506,69.8124,0.8151,91.4683,6667,0.6836,1.7261,0.8861,2
7036,314.879,117.2446,77.6209,0.7495,94.6494,7222,0.758,1.5105,0.8918,2
6245,291.946,109.9091,72.9431,0.748,89.1705,6361,0.7343,1.5068,0.9207,2
5726,273.63,102.7642,71.2113,0.721,85.3848,5777,0.735,1.4431,0.961,2
6127,291.243,111.3686,70.877,0.7713,88.3241,6248,0.7067,1.5713,0.9077,2
6006,290.756,108.0274,72.4053,0.7421,87.4476,6212,0.6803,1.492,0.8928,2
6374,296.057,109.8267,74.7374,0.7327,90.0868,6477,0.7391,1.4695,0.9138,2
7301,322.274,126.8652,73.811,0.8133,96.4154,7416,0.6754,1.7188,0.8834,2
5876,284.124,111.1208,67.5698,0.7939,86.496,5954,0.6943,1.6445,0.9147,2
6513,300.218,116.2305,71.8603,0.786,91.0638,6630,0.7069,1.6175,0.9081,2
6194,290.525,112.451,70.309,0.7804,88.8057,6273,0.7169,1.5994,0.9222,2
6078,292.848,110.4929,70.9824,0.7664,87.9702,6254,0.6994,1.5566,0.8906,2
7198,319.289,124.738,73.9599,0.8053,95.7328,7319,0.6717,1.6866,0.8873,2
7121,311.126,119.6271,76.0894,0.7716,95.2194,7218,0.6981,1.5722,0.9244,2
5826,285.627,106.0902,70.9811,0.7432,86.1272,5950,0.7302,1.4946,0.8974,2
6071,287.994,109.6607,71.2475,0.7602,87.9195,6144,0.7194,1.5392,0.9198,2
6471,300.582,116.1698,71.149,0.7905,90.7697,6575,0.6878,1.6328,0.9,2
8563,341.36,132.0174,82.9675,0.7778,104.4162,8674,0.7602,1.5912,0.9234,2
7322,321.653,125.0831,75.1349,0.7995,96.5539,7453,0.7547,1.6648,0.8893,2
6351,293.791,112.0503,72.8222,0.76,89.9241,6451,0.7065,1.5387,0.9246,2
6245,290.772,109.5924,73.0873,0.7451,89.1705,6344,0.7345,1.4995,0.9282,2
6390,296.148,109.6457,74.7912,0.7312,90.1998,6499,0.7235,1.466,0.9156,2
6364,303.244,116.2238,70.5711,0.7945,90.0161,6527,0.6997,1.6469,0.8697,2
7438,321.925,126.1495,75.3226,0.8022,97.3158,7571,0.7767,1.6748,0.9019,2
6330,292.56,110.118,73.7218,0.7428,89.7753,6412,0.7042,1.4937,0.9294,2
5986,287.001,112.793,67.9317,0.7983,87.3018,6071,0.7265,1.6604,0.9132,2
6759,305.303,117.8775,73.4525,0.7821,92.7676,6846,0.747,1.6048,0.9112,2
6532,299.587,109.0256,77.4942,0.7034,91.1965,6696,0.7349,1.4069,0.9146,2
7623,315.764,114.4934,85.1145,0.6688,98.5186,7714,0.8103,1.3452,0.9608,2
6415,296.47,115.4668,70.9738,0.7888,90.3761,6501,0.7404,1.6269,0.9172,2
6708,306.493,113.0369,77.17,0.7307,92.4169,6909,0.751,1.4648,0.8973,2
6053,289.623,110.2041,70.532,0.7684,87.7891,6167,0.7075,1.5625,0.9068,2
6596,308.428,117.2936,72.8362,0.7838,91.6422,6763,0.749,1.6104,0.8713,2
6274,295.775,109.8657,73.7466,0.7412,89.3773,6446,0.7199,1.4898,0.9012,2
5857,285.214,108.0772,69.5906,0.7651,86.356,5975,0.7298,1.553,0.9048,2
6872,308.437,116.8638,75.2483,0.7651,93.5398,6983,0.7098,1.553,0.9077,2
6222,296.892,111.754,71.9643,0.7651,89.0062,6327,0.7348,1.5529,0.887,2
6368,302.581,113.7909,72.7377,0.769,90.0444,6596,0.7666,1.5644,0.874,2
6626,303.509,119.6519,70.864,0.8058,91.8503,6715,0.7065,1.6885,0.9039,2
5772,281.716,109.7449,67.3297,0.7897,85.7271,5860,0.7012,1.63,0.9139,2
6769,307.544,121.2172,71.4533,0.8078,92.8362,6862,0.7331,1.6965,0.8993,2
6004,293.352,109.9532,70.6416,0.7663,87.433,6165,0.7062,1.5565,0.8767,2
7244,323.372,125.3347,74.7373,0.8028,96.0383,7385,0.7666,1.677,0.8705,2
6583,295.684,109.7572,76.9016,0.7135,91.5518,6651,0.802,1.4272,0.9462,2
