AR,PR,MAL,MIL,EC,ED,CA,EX,AS,RO,class
7008,311.5,121.575,73.8386,0.7944,94.4609,7091,0.6737,1.6465,0.9076,2
5960,290.88,113.0224,67.6725,0.8009,87.112,6089,0.7002,1.6701,0.8852,2
5713,280.345,105.8827,69.7111,0.7527,85.2878,5810,0.7061,1.5189,0.9135,2
6917,304.394,114.7259,77.0693,0.7408,93.8456,7009,0.7286,1.4886,0.9381,2
6493,298.28,113.5589,73.317,0.7637,90.9238,6589,0.7942,1.5489,0.9171,2
7308,318.617,122.9813,76.1396,0.7853,96.4616,7421,0.7646,1.6152,0.9046,2
6682,300.945,115.4013,73.9458,0.7677,92.2377,6761,0.7319,1.5606,0.9271,2
6056,289.432,111.0796,70.0281,0.7762,87.8108,6160,0.7232,1.5862,0.9085,2
5839,287.349,109.9099,68.4386,0.7825,86.2232,5954,0.701,1.606,0.8886,2
6450,298.793,116.203,71.1559,0.7906,90.6223,6543,0.779,1.6331,0.9079,2
6464,302.135,116.7453,70.8296,0.7949,90.7206,6577,0.7269,1.6483,0.8898,2
7198,324.696,124.823,75.0398,0.7991,95.7328,7420,0.6999,1.6634,0.858,2
7000,313.2,123.9902,72.182,0.8131,94.407,7106,0.7754,1.7177,0.8967,2
6416,295.445,112.8893,72.7788,0.7644,90.3831,6508,0.7138,1.5511,0.9237,2
6977,310.075,117.7045,76.5612,0.7595,94.2517,7078,0.778,1.5374,0.9119,2
6039,286.504,108.8981,71.1578,0.757,87.6875,6169,0.7556,1.5304,0.9245,2
6396,301.796,113.9399,72.7587,0.7696,90.2421,6583,0.7382,1.566,0.8825,2
5860,289.987,107.0153,71.0766,0.7476,86.3781,6103,0.672,1.5056,0.8757,2
6277,299.116,117.1955,68.7854,0.8096,89.3987,6396,0.7451,1.7038,0.8816,2
6529,306.336,117.8812,71.971,0.792,91.1756,6710,0.758,1.6379,0.8743,2
6551,300.292,112.2672,75.2032,0.7425,91.329,6675,0.6925,1.4929,0.9129,2
5883,285.008,113.2057,66.4243,0.8098,86.5475,5957,0.691,1.7043,0.9101,2
6163,297.95,119.7425,65.8701,0.8351,88.5832,6260,0.7254,1.8179,0.8724,2
6202,293.864,110.0789,72.5253,0.7523,88.863,6337,0.7362,1.5178,0.9025,2
7308,317.561,123.3681,76.1287,0.7869,96.4616,7403,0.6774,1.6205,0.9107,2
7170,323.223,130.2672,70.6226,0.8403,95.5465,7296,0.794,1.8446,0.8624,2
6780,301.433,113.2235,76.8128,0.7347,92.9116,6867,0.7213,1.474,0.9377,2
7116,307.304,116.7106,77.9377,0.7444,95.186,7188,0.7542,1.4975,0.9469,2
5906,287.58,108.7133,70.1115,0.7642,86.7165,6076,0.7079,1.5506,0.8974,2
6780,309.463,122.2063,71.2916,0.8122,92.9116,6881,0.7004,1.7142,0.8897,2
6475,299.101,114.1817,72.7072,0.7711,90.7977,6585,0.6962,1.5704,0.9095,2
7081,322.24,127.632,71.0509,0.8307,94.9516,7211,0.6783,1.7963,0.8569,2
7000,313.796,115.932,77.7371,0.7419,94.407,7187,0.7099,1.4913,0.8933,2
5631,279.931,110.1812,65.5234,0.804,84.6736,5698,0.6803,1.6816,0.903,2
5826,281.585,103.515,72.7586,0.7113,86.1272,5975,0.725,1.4227,0.9233,2
7265,311.976,115.393,80.4725,0.7167,96.1774,7374,0.7564,1.4339,0.938,2
7344,319.08,123.6658,75.8348,0.7899,96.6989,7449,0.7818,1.6307,0.9064,2
7622,327.97,123.9423,78.8607,0.7715,98.5121,7751,0.7189,1.5717,0.8905,2
6336,295.246,114.0329,71.128,0.7816,89.8178,6444,0.7266,1.6032,0.9134,2
6431,302.068,118.4199,69.6686,0.8086,90.4887,6548,0.8015,1.6998,0.8857,2
6710,302.904,117.7565,72.928,0.7851,92.4307,6795,0.7372,1.6147,0.919,2
6099,288.018,108.9827,71.692,0.7532,88.122,6179,0.731,1.5202,0.9239,2
7162,315.566,122.8033,74.9106,0.7924,95.4931,7261,0.7624,1.6393,0.9038,2
6854,313.043,125.9304,69.9331,0.8316,93.4173,6930,0.7947,1.8007,0.8789,2
6516,295.668,113.4861,73.3901,0.7628,91.0847,6601,0.7338,1.5463,0.9367,2
6460,296.894,114.8688,71.9165,0.7798,90.6925,6561,0.6866,1.5973,0.921,2
7280,325.506,131.7026,70.7689,0.8434,96.2766,7371,0.7827,1.861,0.8634,2
6958,314.366,120.6829,74.4363,0.7871,94.1233,7145,0.7771,1.6213,0.8848,2
6834,312.497,114.6453,77.234,0.739,93.2809,7038,0.7337,1.4844,0.8794,2
6442,310.14,126.2811,65.4095,0.8554,90.566,6573,0.7747,1.9306,0.8416,2
7997,340.021,132.4551,77.718,0.8098,100.9064,8127,0.7794,1.7043,0.8692,2
6633,303.094,114.3934,74.7838,0.7567,91.8988,6784,0.7564,1.5297,0.9073,2
6510,306.725,118.2765,71.0945,0.7992,91.0428,6707,0.6955,1.6637,0.8695,2
5937,287.688,111.7207,68.1341,0.7925,86.9438,6037,0.7132,1.6397,0.9014,2
6929,310.927,117.5199,76.1451,0.7617,93.927,7110,0.7027,1.5434,0.9007,2
7106,313.614,122.5535,74.3092,0.7952,95.1191,7190,0.7936,1.6492,0.9079,2
6603,300.921,116.2482,72.7205,0.7802,91.6908,6690,0.6948,1.5986,0.9163,2
5784,289.929,113.2139,66.0202,0.8124,85.8162,5899,0.6701,1.7148,0.8647,2
6820,309.396,122.5236,71.2544,0.8135,93.1853,6913,0.7506,1.7195,0.8953,2
6335,294.609,113.8488,71.4778,0.7784,89.8108,6424,0.7242,1.5928,0.9172,2
7178,318.898,125.0296,73.7195,0.8077,95.5998,7270,0.7823,1.696,0.887,2
6628,297.993,111.5826,75.922,0.7328,91.8642,6729,0.7118,1.4697,0.938,2
6066,288.407,108.2814,72.093,0.7461,87.8833,6196,0.717,1.502,0.9164,2
6632,307.395,120.1093,70.6342,0.8088,91.8919,6730,0.7206,1.7004,0.882,2
6152,296.668,118.4235,66.8953,0.8252,88.5041,6254,0.7848,1.7703,0.8784,2
6561,301.01,117.9,71.305,0.7964,91.3987,6644,0.7578,1.6535,0.91,2
6360,294.966,113.1631,72.0432,0.7712,89.9878,6445,0.7047,1.5708,0.9186,2
5640,283.858,110.9008,65.5752,0.8065,84.7412,5777,0.6742,1.6912,0.8796,2
6189,292.021,114.8544,68.936,0.7998,88.7698,6264,0.7075,1.6661,0.912,2
6145,295.866,114.1795,69.2939,0.7948,88.4537,6298,0.719,1.6478,0.8821,2
6690,300.482,114.247,74.8656,0.7554,92.2929,6777,0.7189,1.526,0.9311,2
6553,304.798,117.2399,71.7816,0.7907,91.343,6664,0.6946,1.6333,0.8864,2
5953,288.351,111.9233,68.3237,0.7921,87.0609,6027,0.6843,1.6381,0.8997,2
6202,292.988,111.3021,71.7223,0.7647,88.863,6322,0.7417,1.5518,0.9079,2
5843,289.582,114.5811,65.3399,0.8215,86.2528,5948,0.6631,1.7536,0.8756,2
5585,280.418,105.2096,68.4335,0.7595,84.327,5715,0.7284,1.5374,0.8925,2
6733,302.649,115.859,74.3829,0.7667,92.589,6813,0.7083,1.5576,0.9237,2
5654,284.53,112.1127,64.7956,0.8161,84.8463,5737,0.6678,1.7303,0.8776,2
6003,289.647,114.1761,67.3081,0.8078,87.4257,6103,0.7243,1.6963,0.8992,2
5545,284.744,117.0621,60.5745,0.8557,84.0245,5628,0.6438,1.9325,0.8594,2
6098,291.673,110.2716,71.1898,0.7637,88.1148,6244,0.7499,1.549,0.9008,2
7260,322.655,127.1173,73.4209,0.8163,96.1443,7345,0.6796,1.7313,0.8763,2
5923,291.409,111.063,69.1101,0.7828,86.8412,6076,0.6848,1.607,0.8765,2
6653,305.354,122.6224,69.3449,0.8247,92.0373,6738,0.667,1.7683,0.8966,2
6033,288.192,107.6801,72.2572,0.7414,87.6439,6138,0.7158,1.4902,0.9128,2
6298,298.322,111.5952,73.2765,0.7542,89.5481,6496,0.7092,1.5229,0.8893,2
6201,289.937,111.5344,71.1091,0.7704,88.8558,6287,0.7244,1.5685,0.927,2
6489,306.055,118.7164,70.6868,0.8034,90.8958,6664,0.7143,1.6795,0.8705,2
7472,321.134,124.6851,76.7411,0.7882,97.5379,7564,0.6846,1.6248,0.9105,2
6517,294.766,108.8805,76.6079,0.7106,91.0917,6617,0.7568,1.4213,0.9425,2
6923,306.627,114.055,77.8441,0.7309,93.8863,7016,0.7072,1.4652,0.9253,2
5578,279.426,102.2313,71.012,0.7194,84.2741,5758,0.705,1.4396,0.8977,2
6118,287.323,106.6668,73.9075,0.7211,88.2592,6231,0.7542,1.4432,0.9313,2
6776,306.088,114.3588,76.4183,0.744,92.8842,6929,0.717,1.4965,0.9088,2
5739,280.236,106.5761,69.0219,0.762,85.4817,5830,0.7331,1.5441,0.9183,2
6195,293.087,109.939,72.8243,0.7491,88.8128,6339,0.7578,1.5096,0.9063,2
5985,286.389,105.9133,72.9173,0.7253,87.2945,6136,0.7171,1.4525,0.917,2
6160,293.692,115.5299,68.0253,0.8083,88.5616,6241,0.7063,1.6983,0.8974,2
6030,286.819,105.4045,74.088,0.7113,87.6221,6163,0.7145,1.4227,0.9211,2
6479,300.605,119.0059,69.6198,0.811,90.8258,6574,0.7254,1.7094,0.901,2
5735,279.301,108.2289,67.8867,0.7788,85.4519,5807,0.7452,1.5943,0.9238,2
5527,283.098,116.9247,60.3905,0.8563,83.888,5607,0.6585,1.9361,0.8666,2
6079,290.747,111.0664,70.3698,0.7737,87.9774,6170,0.7338,1.5783,0.9037,2
5552,279.591,110.4622,64.3379,0.8129,84.0775,5633,0.724,1.7169,0.8925,2
6143,292.899,116.7252,67.3164,0.817,88.4393,6228,0.6677,1.734,0.8998,2
6465,304.483,119.661,69.6833,0.8129,90.7276,6557,0.7126,1.7172,0.8763,2
6029,289.689,111.5612,69.2786,0.7838,87.6148,6114,0.7071,1.6103,0.9028,2
7018,309.586,116.3925,77.4433,0.7465,94.5283,7124,0.7506,1.5029,0.9202,2
5529,282.948,112.1255,63.3008,0.8254,83.9032,5636,0.7645,1.7713,0.8678,2
6495,306.872,115.0039,72.7984,0.7741,90.9378,6629,0.767,1.5798,0.8667,2
5573,274.206,104.3058,68.2291,0.7564,84.2364,5670,0.7607,1.5288,0.9314,2
6301,296.794,108.3459,75.6179,0.7162,89.5694,6543,0.6923,1.4328,0.8989,2
6287,298.29,112.9325,71.9377,0.7709,89.4699,6493,0.7289,1.5699,0.8879,2
5648,277.482,105.3686,68.6493,0.7586,84.8013,5737,0.7053,1.5349,0.9218,2
6328,294.873,111.6625,72.674,0.7592,89.7611,6428,0.7639,1.5365,0.9145,2
5917,281.932,104.6022,72.9056,0.7171,86.7972,6014,0.7235,1.4348,0.9355,2
6992,313.837,124.2816,71.8278,0.8161,94.353,7097,0.7376,1.7303,0.8921,2
6385,298.215,111.5589,73.9867,0.7484,90.1645,6528,0.7636,1.5078,0.9022,2
5810,283.569,109.874,67.7551,0.7872,86.0089,5893,0.6975,1.6216,0.908,2
5558,277.036,103.4814,69.5505,0.7405,84.1229,5675,0.7186,1.4879,0.91,2
7056,314.028,119.889,75.7036,0.7754,94.7839,7223,0.7752,1.5837,0.8991,2
6118,289.292,111.8656,69.9455,0.7804,88.2592,6194,0.7032,1.5993,0.9186,2
7283,314.557,117.405,79.5316,0.7356,96.2964,7394,0.7879,1.4762,0.925,2
6314,290.631,108.9909,74.1479,0.7329,89.6618,6399,0.8009,1.4699,0.9394,2
6449,293.857,110.9737,74.3577,0.7423,90.6152,6534,0.7684,1.4924,0.9385,2
7081,315.242,121.4912,74.6805,0.7888,94.9516,7193,0.7843,1.6268,0.8954,2
6971,310.33,119.4163,74.6392,0.7806,94.2112,7076,0.7944,1.5999,0.9096,2
6000,288.266,113.8638,67.3979,0.806,87.4039,6080,0.7407,1.6894,0.9073,2
5342,275.713,103.7808,66.6977,0.7661,82.4721,5507,0.69,1.556,0.8831,2
7045,311.116,120.2545,74.8489,0.7827,94.7099,7147,0.7498,1.6066,0.9146,2
5951,317.905,131.8961,58.5632,0.896,87.0462,6205,0.6989,2.2522,0.74,3
7581,327.409,125.6307,77.6556,0.7861,98.2468,7769,0.7104,1.6178,0.8887,3
8703,355.637,140.2506,79.5739,0.8235,105.2663,8835,0.671,1.7625,0.8647,3
5596,296.319,122.3166,59.2058,0.875,84.41,5693,0.8181,2.066,0.8009,3
6793,328.062,133.4865,66.3566,0.8677,93.0006,7007,0.714,2.0117,0.7932,3
7879,349.359,138.8958,73.5746,0.8482,100.1591,8112,0.6322,1.8878,0.8112,3
7859,344.067,137.8291,73.3037,0.8468,100.0319,8057,0.6387,1.8802,0.8342,3
7364,335.805,136.36,70.0338,0.858,96.8305,7475,0.6257,1.9471,0.8206,3
7723,348.671,141.8426,70.1708,0.8691,99.1626,7915,0.6625,2.0214,0.7983,3
6870,314.485,122.9646,71.9551,0.8109,93.5262,7006,0.6539,1.7089,0.8729,3
9311,377.361,152.2348,78.8508,0.8554,108.8813,9518,0.6578,1.9307,0.8217,3
7767,339.676,138.8671,71.7037,0.8564,99.4447,7864,0.6367,1.9367,0.8459,3
6492,318.776,132.8696,63.1462,0.8799,90.9168,6639,0.6137,2.1042,0.8028,3
6961,321.519,123.2159,74.2337,0.7981,94.1436,7151,0.769,1.6598,0.8462,3
7456,336.538,135.3897,70.9303,0.8518,97.4334,7667,0.7566,1.9088,0.8273,3
7593,348.037,140.2,70.0761,0.8661,98.3245,7860,0.6115,2.0007,0.7877,3
6163,294.757,111.6306,71.8139,0.7656,88.5832,6320,0.7178,1.5544,0.8914,3
8368,358.727,142.0117,76.5834,0.8421,103.2205,8624,0.77,1.8543,0.8172,3
7614,335.102,135.8432,71.8033,0.8489,98.4604,7772,0.6532,1.8919,0.8521,3
8799,371.595,150.996,75.3526,0.8666,105.8453,9045,0.7568,2.0039,0.8008,3
8160,362.557,150.9163,69.5043,0.8876,101.9296,8383,0.6816,2.1713,0.7801,3
7218,321.388,127.1666,73.2076,0.8177,95.8658,7338,0.6868,1.7371,0.8781,3
9053,373.458,149.3642,78.1367,0.8523,107.3622,9256,0.6421,1.9116,0.8157,3
6632,310.522,127.4411,66.4924,0.8531,91.8919,6725,0.6746,1.9166,0.8643,3
7652,341.516,135.7997,72.6712,0.8448,98.7058,7906,0.7502,1.8687,0.8244,3
8301,361.036,148.039,72.2192,0.8729,102.8064,8502,0.6399,2.0499,0.8003,3
7682,353.569,145.8356,68.1035,0.8843,98.8991,7879,0.5853,2.1414,0.7722,3
8380,365.212,142.703,76.2749,0.8452,103.2945,8704,0.6372,1.8709,0.7895,3
7381,335.35,136.4832,69.2909,0.8615,96.9422,7549,0.6125,1.9697,0.8248,3
7028,337.077,141.0032,64.1021,0.8907,94.5956,7223,0.6541,2.1997,0.7773,3
8157,355.816,142.3143,74.3901,0.8525,101.9108,8379,0.7501,1.9131,0.8096,3
7002,333.81,141.7813,63.4628,0.8942,94.4205,7134,0.6343,2.2341,0.7896,3
7755,339.462,136.226,73.482,0.842,99.3679,7848,0.6469,1.8539,0.8457,3
8306,356.628,143.2177,74.8326,0.8526,102.8374,8572,0.6405,1.9138,0.8207,3
7540,329.508,131.8624,73.4388,0.8306,97.9807,7676,0.7812,1.7955,0.8727,3
8410,358.114,145.5798,74.2264,0.8603,103.4792,8623,0.7692,1.9613,0.8241,3
8181,355.874,140.5084,75.2512,0.8445,102.0606,8434,0.7163,1.8672,0.8118,3
8198,359.291,143.3365,73.8657,0.857,102.1666,8492,0.6267,1.9405,0.798,3
8016,352.078,143.974,71.7418,0.867,101.0262,8216,0.7895,2.0068,0.8126,3
6904,317.924,127.5191,69.7228,0.8373,93.7574,7038,0.6904,1.8289,0.8583,3
7837,347.102,139.9776,72.0463,0.8574,99.8918,8029,0.6312,1.9429,0.8174,3
7142,328.301,136.8489,67.179,0.8712,95.3597,7228,0.8139,2.0371,0.8327,3
8378,367.199,150.685,71.7233,0.8795,103.2821,8596,0.5927,2.1009,0.7808,3
7388,340.582,143.517,65.9472,0.8882,96.9881,7520,0.7948,2.1762,0.8004,3
7933,346.198,141.0333,72.1264,0.8593,100.5018,8078,0.7149,1.9554,0.8318,3
7474,340.31,133.6406,72.5742,0.8397,97.551,7701,0.6697,1.8414,0.811,3
6070,308.597,123.6628,63.7914,0.8567,87.9123,6260,0.6009,1.9386,0.801,3
7711,341.139,137.744,72.2395,0.8514,99.0856,7897,0.6218,1.9068,0.8326,3
5814,297.37,124.018,60.2615,0.874,86.0385,5902,0.7943,2.058,0.8262,3
7292,340.569,136.8016,68.9203,0.8638,96.3559,7456,0.6252,1.9849,0.79,3
8806,370.148,147.723,77.0258,0.8533,105.8874,9143,0.7388,1.9178,0.8077,3
7764,354.732,144.5287,69.1575,0.8781,99.4255,7952,0.6828,2.0898,0.7753,3
6258,312.086,127.0524,63.3214,0.867,89.2633,6415,0.6187,2.0065,0.8074,3
7268,330.669,133.6942,69.9247,0.8523,96.1972,7441,0.6389,1.912,0.8353,3
7942,345.728,141.2174,72.0376,0.8601,100.5588,8077,0.6762,1.9603,0.835,3
7459,342.469,138.7391,69.3383,0.8662,97.453,7695,0.6303,2.0009,0.7992,3
7380,342.834,138.1849,69.1416,0.8658,96.9356,7664,0.6099,1.9986,0.789,3
7530,344.006,139.5589,69.8381,0.8658,97.9157,7734,0.7086,1.9983,0.7996,3
8187,360.033,145.8761,72.4228,0.8681,102.0981,8412,0.7581,2.0142,0.7937,3
8531,364.592,145.2083,76.0929,0.8517,104.2209,8821,0.6703,1.9083,0.8065,3
8277,366.832,148.3558,72.3331,0.8731,102.6577,8652,0.6796,2.051,0.7729,3
7010,333.081,140.996,64.0416,0.8909,94.4744,7139,0.6935,2.2016,0.794,3
6794,320.981,128.551,68.126,0.848,93.0075,6938,0.7464,1.887,0.8287,3
7287,325.557,130.0794,71.735,0.8342,96.3229,7426,0.6804,1.8133,0.864,3
7714,342.909,138.4239,71.8168,0.8549,99.1048,7898,0.6278,1.9275,0.8244,3
7307,331.207,134.5017,70.2589,0.8527,96.455,7430,0.6265,1.9144,0.837,3
6755,327.883,134.5361,65.3335,0.8742,92.7401,6894,0.5956,2.0592,0.7896,3
7927,347.968,139.2555,73.5004,0.8494,100.4638,8157,0.6628,1.8946,0.8227,3
8201,353.294,141.3394,74.7648,0.8486,102.1853,8406,0.7748,1.8905,0.8257,3
8265,357.671,144.4169,73.963,0.8589,102.5833,8453,0.6159,1.9526,0.8119,3
7352,336.517,137.6509,68.7958,0.8661,96.7515,7593,0.6147,2.0009,0.8158,3
7205,329.008,136.6014,67.6484,0.8688,95.7794,7350,0.6298,2.0193,0.8364,3
7337,324.257,125.9797,74.9663,0.8037,96.6528,7484,0.7869,1.6805,0.8769,3
7902,351.134,145.9921,69.2171,0.8805,100.3052,8040,0.757,2.1092,0.8054,3
7311,340.938,138.0638,68.4717,0.8684,96.4814,7595,0.6855,2.0164,0.7904,3
9293,379.568,148.7603,81.5512,0.8363,108.776,9649,0.7548,1.8241,0.8106,3
8304,352.591,138.9646,77.2935,0.831,102.825,8519,0.6937,1.7979,0.8394,3
6681,326.93,136.4851,63.2321,0.8862,92.2308,6834,0.591,2.1585,0.7855,3
8157,353.992,142.7027,73.7388,0.8561,101.9108,8294,0.6389,1.9352,0.818,3
8072,346.119,141.8176,73.1976,0.8565,101.3784,8149,0.6406,1.9375,0.8467,3
7575,337.733,139.1711,69.85,0.8649,98.2079,7691,0.6272,1.9924,0.8345,3
7588,334.307,131.7363,73.882,0.8279,98.2921,7732,0.6706,1.7831,0.8532,3
6684,312.374,125.559,67.9627,0.8408,92.2515,6809,0.686,1.8475,0.8608,3
6890,334.555,137.5772,64.917,0.8817,93.6623,7119,0.6139,2.1193,0.7736,3
5163,280.739,112.7916,59.0145,0.8522,81.0786,5305,0.7557,1.9113,0.8232,3
6767,317.602,130.2729,66.3718,0.8605,92.8225,6879,0.6426,1.9628,0.843,3
7187,332.992,129.4866,71.9863,0.8312,95.6597,7433,0.6464,1.7988,0.8145,3
7553,337.449,132.0979,74.0509,0.8281,98.0652,7802,0.6894,1.7839,0.8335,3
5899,295.834,119.3158,63.9189,0.8444,86.6651,6003,0.6294,1.8667,0.847,3
8048,352.411,142.194,73.04,0.858,101.2276,8300,0.6241,1.9468,0.8143,3
8426,361.978,145.0287,74.6392,0.8574,103.5776,8673,0.6514,1.9431,0.8081,3
8822,370.26,149.0872,76.7478,0.8573,105.9836,9021,0.6085,1.9426,0.8087,3
7888,349.39,142.1399,71.5574,0.864,100.2163,8143,0.7715,1.9864,0.812,3
7689,344.695,138.7491,71.365,0.8576,98.9441,7870,0.6475,1.9442,0.8132,3
8081,348.035,139.9856,74.2154,0.8479,101.435,8279,0.6779,1.8862,0.8384,3
7070,318.852,122.4535,74.516,0.7935,94.8778,7215,0.6471,1.6433,0.8739,3
7305,335.736,139.6919,67.1539,0.8769,96.4418,7472,0.7785,2.0802,0.8144,3
8218,353.773,144.1631,73.2066,0.8615,102.2912,8366,0.7926,1.9693,0.8251,3
8388,367.319,153.0017,70.5025,0.8875,103.3438,8591,0.7883,2.1702,0.7812,3
8134,356.871,145.0257,72.8316,0.8648,101.767,8316,0.6167,1.9912,0.8026,3
8441,363.02,146.6408,74.4204,0.8617,103.6697,8678,0.6738,1.9704,0.8049,3
6457,317.045,128.2204,64.7532,0.8631,90.6714,6620,0.7701,1.9801,0.8072,3
7782,344.436,136.7224,73.5689,0.8429,99.5407,7990,0.7377,1.8584,0.8243,3
7932,352.186,145.0703,70.6269,0.8735,100.4955,8117,0.6579,2.054,0.8036,3
7346,331.919,136.163,69.035,0.8619,96.712,7442,0.6243,1.9724,0.8379,3
7872,355.542,144.6832,70.6245,0.8728,100.1146,8120,0.7158,2.0486,0.7826,3
8290,357.962,146.0963,73.0313,0.8661,102.7383,8485,0.6109,2.0005,0.813,3
7223,330.882,134.561,68.8632,0.8591,95.899,7382,0.6945,1.954,0.8291,3
8722,364.5,149.7096,74.658,0.8668,105.3812,8885,0.6628,2.0053,0.825,3
7143,330.691,136.265,67.5255,0.8686,95.3664,7256,0.7839,2.018,0.8208,3
7824,345.77,139.894,71.8626,0.858,99.8089,8008,0.63,1.9467,0.8224,3
8684,360.134,145.3406,77.003,0.8481,105.1514,8837,0.7229,1.8875,0.8414,3
7642,347.938,138.743,71.638,0.8564,98.6413,7994,0.6097,1.9367,0.7933,3
7408,336,137.343,69.1985,0.8638,97.1193,7557,0.7952,1.9848,0.8246,3
8863,371.72,148.6763,77.2579,0.8544,106.2296,9121,0.6617,1.9244,0.806,3
7993,348.96,139.4629,73.7899,0.8486,100.8811,8201,0.7765,1.89,0.8248,3
7088,324.555,129.9221,70.1631,0.8416,94.9985,7225,0.7679,1.8517,0.8456,3
7180,336.613,141.4272,64.9529,0.8883,95.6131,7315,0.7433,2.1774,0.7963,3
7787,356.668,146.1374,68.8652,0.882,99.5727,8080,0.7686,2.1221,0.7692,3
5146,273.719,110.2624,59.8687,0.8398,80.945,5254,0.6935,1.8417,0.8631,3
6800,322.447,127.7234,68.6997,0.843,93.0485,7052,0.6919,1.8592,0.8219,3
8474,356.247,141.7913,77.0884,0.8393,103.8722,8629,0.67,1.8393,0.8391,3
7813,350.044,138.3289,73.2432,0.8483,99.7388,8117,0.689,1.8886,0.8013,3
6783,323.76,130.1797,67.3029,0.856,92.9321,6957,0.757,1.9342,0.8132,3
8052,350.945,140.6625,73.8167,0.8512,101.2528,8283,0.7229,1.9056,0.8216,3
8601,372.101,152.6435,72.5395,0.8799,104.6477,8784,0.6144,2.1043,0.7806,3
6779,330.933,138.0196,63.555,0.8877,92.9047,6914,0.5836,2.1717,0.7778,3
